CustomerID,total_orders,total_items,total_revenue,avg_order_value,unique_products,first_purchase,last_purchase,days_since_last_purchase,customer_lifespan,purchase_frequency,total_active_months,returned_second_month,churned,churn_probability
12346,1,74215,77183.6,77183.6,1,2011-01-18 10:01:00,2011-01-18 10:01:00,325,0,1.0,1,0,1,0.9962616476535858
12347,7,2458,4310.0,23.68131868131868,103,2010-12-07 14:57:00,2011-12-07 15:52:00,1,365,0.0191256830601092,7,1,0,0.022150669591037866
12348,4,2341,1797.24,57.97548387096774,22,2010-12-16 19:09:00,2011-09-25 13:13:00,74,282,0.0141342756183745,4,1,0,0.12080909164942302
12349,1,631,1757.55,24.076027397260273,73,2011-11-21 09:51:00,2011-11-21 09:51:00,18,0,1.0,1,0,0,0.42268320260302245
12350,1,197,334.4,19.670588235294115,17,2011-02-02 16:01:00,2011-02-02 16:01:00,309,0,1.0,1,0,1,0.5598281694706382
12352,8,536,2506.04,29.482823529411764,59,2011-02-16 12:33:00,2011-11-03 14:37:00,35,260,0.0306513409961685,4,1,0,0.09806305344351143
12353,1,20,89.0,22.25,4,2011-05-19 17:47:00,2011-05-19 17:47:00,203,0,1.0,1,0,1,0.5919234705570446
12354,1,530,1079.4,18.610344827586207,58,2011-04-21 13:11:00,2011-04-21 13:11:00,231,0,1.0,1,0,1,0.4613515764817004
12355,1,240,459.4,35.33846153846154,13,2011-05-09 13:49:00,2011-05-09 13:49:00,213,0,1.0,1,0,1,0.566818528649818
12356,3,1591,2811.43,47.65135593220339,53,2011-01-18 09:50:00,2011-11-17 08:40:00,22,302,0.0099009900990099,3,1,0,0.0969612943028495
12357,1,2708,6207.67,47.38679389312977,131,2011-11-06 16:07:00,2011-11-06 16:07:00,32,0,1.0,1,0,0,0.24760061913947182
12358,2,248,1168.06,61.47684210526315,13,2011-07-12 10:04:00,2011-12-08 10:26:00,1,149,0.0133333333333333,2,1,0,0.3801942652933611
12359,4,1609,6310.03,25.75522448979592,214,2011-01-12 12:43:00,2011-10-13 12:47:00,57,274,0.0145454545454545,4,1,0,0.02537092804517619
12360,3,1165,2662.06,20.63612403100775,105,2011-05-23 09:43:00,2011-10-18 15:22:00,51,148,0.0201342281879194,3,1,0,0.17936389877242984
12361,1,91,189.9,18.99,10,2011-02-25 13:51:00,2011-02-25 13:51:00,286,0,1.0,1,0,1,0.5774076799730993
12362,10,2229,5226.23,19.647481203007516,201,2011-02-17 10:30:00,2011-12-06 15:40:00,2,292,0.0341296928327645,8,1,0,0.012989982778365683
12363,2,408,552.0,24.0,23,2011-04-11 13:29:00,2011-08-22 10:18:00,109,132,0.0150375939849624,2,1,1,0.3904279250473286
12364,4,1506,1313.1,15.448235294117646,70,2011-08-19 15:24:00,2011-12-02 10:22:00,7,104,0.0380952380952381,4,1,0,0.2641348970216425
12365,2,174,641.38,29.15363636363636,22,2011-02-21 13:51:00,2011-02-21 14:04:00,290,0,2.0,1,0,1,0.5815931621402485
12367,1,173,168.9,15.354545454545455,11,2011-12-05 16:48:00,2011-12-05 16:48:00,3,0,1.0,1,0,0,0.5738900660633983
12370,4,2352,3541.94,21.33698795180723,143,2010-12-14 12:58:00,2011-10-19 14:51:00,50,309,0.0129032258064516,3,1,0,0.040290600877018114
12371,2,591,1887.96,29.96761904761905,63,2011-10-11 10:43:00,2011-10-26 10:16:00,44,14,0.1333333333333333,1,0,0,0.36839322996066637
12372,3,794,1298.04,24.962307692307693,34,2011-02-16 12:46:00,2011-09-29 12:12:00,71,224,0.0133333333333333,3,1,0,0.19814454846464732
12373,1,197,364.6,26.042857142857144,14,2011-02-01 13:10:00,2011-02-01 13:10:00,310,0,1.0,1,0,1,0.5660066061833443
12374,1,342,742.9300000000001,22.513030303030305,33,2011-11-14 15:37:00,2011-11-14 15:37:00,24,0,1.0,1,0,0,0.5203173935607974
12375,2,178,457.5,26.91176470588235,14,2011-09-02 14:23:00,2011-11-29 10:36:00,10,87,0.0227272727272727,2,1,0,0.49428166653485106
12377,2,944,1628.12,21.144415584415583,72,2010-12-20 09:37:00,2011-01-28 15:45:00,314,39,0.05,2,1,1,0.43586712493083823
12378,1,2529,4008.62,18.30420091324201,219,2011-08-02 10:34:00,2011-08-02 10:34:00,129,0,1.0,1,0,1,0.14693293416103256
12379,2,407,852.24,21.306,39,2011-06-22 16:32:00,2011-09-19 10:09:00,81,88,0.0224719101123595,2,1,0,0.4324496477482997
12380,4,1127,2724.81,26.20009615384615,77,2011-06-07 09:49:00,2011-11-18 11:27:00,21,164,0.0242424242424242,4,1,0,0.17656319041835938
12381,5,808,1845.31,21.21045977011494,70,2011-08-12 09:57:00,2011-12-05 12:44:00,4,115,0.043103448275862,4,1,0,0.2466071325234941
12383,5,1532,1850.56,18.69252525252525,84,2010-12-22 14:28:00,2011-06-08 08:02:00,184,167,0.0297619047619047,5,1,1,0.14691315358845033
12384,2,126,585.27,21.676666666666662,26,2011-08-10 11:23:00,2011-11-11 08:39:00,28,92,0.021505376344086,2,1,0,0.4597795016429713
12386,2,354,401.9,40.19,10,2010-12-08 09:53:00,2011-01-06 12:37:00,337,29,0.0666666666666666,2,1,1,0.6054870737006152
12388,6,1462,2780.66,27.8066,57,2011-01-17 11:12:00,2011-11-24 12:30:00,15,311,0.0192307692307692,6,1,0,0.06057235950280831
12390,1,353,549.84,17.1825,32,2011-09-21 09:33:00,2011-09-21 09:33:00,79,0,1.0,1,0,0,0.5237238436912505
12391,1,293,439.66,4.72752688172043,92,2011-11-18 12:07:00,2011-11-18 12:07:00,21,0,1.0,1,0,0,0.40117856017172665
12393,4,816,1582.6,24.728125,47,2011-01-11 09:47:00,2011-09-28 15:41:00,71,260,0.0153256704980842,3,1,0,0.13872342646905825
12394,2,819,1272.48,47.12888888888889,26,2011-05-06 14:01:00,2011-10-07 08:08:00,63,153,0.0129870129870129,2,1,0,0.33723503795562537
12395,12,2118,3018.63,19.350192307692307,91,2010-12-03 16:35:00,2011-11-20 15:21:00,18,351,0.034090909090909,8,1,0,0.020983836572351186
12397,2,1263,2409.9,19.126190476190477,110,2011-07-27 14:21:00,2011-11-04 09:52:00,35,99,0.02,2,1,0,0.25594022923460735
12398,1,1394,1635.66,19.24305882352941,85,2011-10-25 10:27:00,2011-10-25 10:27:00,45,0,1.0,1,0,0,0.38559066681260756
12399,4,1178,1108.65,18.790677966101697,47,2011-03-23 09:42:00,2011-08-12 13:15:00,118,142,0.0279720279720279,4,1,1,0.2543481704227507
12401,1,11,84.3,16.86,5,2011-02-09 13:50:00,2011-02-09 13:50:00,302,0,1.0,1,0,1,0.5898771722175692
12402,1,94,225.6,20.509090909090908,11,2011-01-20 13:49:00,2011-01-20 13:49:00,322,0,1.0,1,0,1,0.5750569994747371
12403,1,96,427.7,85.53999999999999,5,2011-10-21 10:51:00,2011-10-21 10:51:00,49,0,1.0,1,0,0,0.588220544283333
12405,1,857,1710.39,31.67388888888889,54,2011-07-14 08:52:00,2011-07-14 08:52:00,148,0,1.0,1,0,1,0.4584038655114922
12406,2,1818,3415.3,32.52666666666667,92,2011-06-09 10:23:00,2011-11-17 19:22:00,21,161,0.0123456790123456,2,1,0,0.19132036911498973
12407,5,1416,1708.12,22.183376623376624,57,2011-03-20 13:21:00,2011-10-21 10:11:00,49,214,0.0232558139534883,4,1,0,0.14597156868397082
12408,5,1409,2888.55,27.51,81,2011-03-24 14:46:00,2011-11-07 12:27:00,32,227,0.0219298245614035,4,1,0,0.10880613869578412
12409,3,5551,11072.67,101.58412844036695,91,2011-06-10 12:19:00,2011-09-22 10:38:00,78,103,0.0288461538461538,2,1,0,0.1669426258499404
12410,2,211,693.3299999999999,26.666538461538455,26,2011-02-04 10:38:00,2011-02-04 10:39:00,308,0,2.0,1,0,1,0.5721780511642661
12412,3,829,1226.88,20.112786885245903,43,2011-06-23 13:51:00,2011-09-26 10:16:00,74,94,0.031578947368421,3,1,0,0.3698775121733112
12413,3,286,758.1,19.95,29,2011-01-06 16:12:00,2011-10-04 09:00:00,66,270,0.011070110701107,3,1,0,0.1636382678025916
12414,3,300,562.41,31.244999999999997,16,2011-02-02 14:51:00,2011-05-06 14:51:00,216,93,0.0319148936170212,3,1,1,0.44185499226476455
12415,21,77374,124914.53,174.95032212885152,444,2011-01-06 11:12:00,2011-11-15 14:22:00,23,313,0.0668789808917197,11,1,0,3.055578226009865e-08
12417,9,1552,3649.1,19.005729166666665,158,2010-12-17 11:51:00,2011-12-06 14:52:00,2,354,0.0253521126760563,8,1,0,0.013876045609856466
12418,1,407,668.58,19.664117647058823,34,2011-08-19 11:08:00,2011-08-19 11:08:00,112,0,1.0,1,0,1,0.5175625169090369
12420,1,345,600.39,20.70310344827586,29,2011-10-07 08:55:00,2011-10-07 08:55:00,63,0,1.0,1,0,0,0.5298231698406471
12421,4,484,807.04,17.93422222222222,32,2011-01-24 15:09:00,2011-11-24 09:07:00,15,303,0.0131578947368421,4,1,0,0.11390657825684161
12422,3,370,803.5600000000001,20.604102564102565,39,2011-01-19 09:13:00,2011-09-05 09:48:00,95,229,0.0130434782608695,3,1,1,0.19361001350099272
12423,8,1339,1859.31,14.87448,97,2010-12-21 10:54:00,2011-12-09 10:10:00,0,352,0.0226628895184136,8,1,0,0.026313740301379406
12424,2,740,1760.96,58.69866666666667,30,2011-06-30 12:06:00,2011-06-30 12:06:00,162,0,2.0,1,0,1,0.5459123875371263
12425,1,496,777.2,21.58888888888889,36,2011-09-22 17:31:00,2011-09-22 17:31:00,77,0,1.0,1,0,0,0.5108064157485849
12426,1,258,582.73,19.424333333333333,30,2011-05-29 12:26:00,2011-05-29 12:26:00,194,0,1.0,1,0,1,0.5294729758123655
12427,3,533,825.8,26.638709677419353,26,2010-12-03 10:44:00,2011-11-18 08:56:00,21,349,0.0085714285714285,3,1,0,0.10005419209692862
12428,9,3536,7956.46,27.062789115646257,258,2011-03-01 09:33:00,2011-11-14 08:22:00,25,257,0.0348837209302325,5,1,0,0.011818281410135996
12429,4,1557,3750.4,38.66391752577319,82,2010-12-09 12:05:00,2011-11-30 17:22:00,8,356,0.011204481792717,4,1,0,0.04578506078486419
12430,1,117,256.4,23.30909090909091,11,2011-10-27 15:09:00,2011-10-27 15:09:00,42,0,1.0,1,0,0,0.5744799913846117
12431,15,2896,6419.95,27.43568376068376,163,2010-12-01 10:03:00,2011-11-04 11:55:00,35,338,0.0442477876106194,8,1,0,0.009248061061041228
12432,5,1801,5059.32,46.84555555555555,107,2011-06-20 13:27:00,2011-10-28 11:43:00,42,129,0.0384615384615384,2,1,0,0.17787047598242875
12433,7,11071,13375.87,31.847309523809525,219,2010-12-01 13:24:00,2011-12-09 10:02:00,0,372,0.0187667560321715,5,1,0,0.0036822278932204665
12434,2,394,806.14,16.122799999999998,46,2011-03-24 13:05:00,2011-09-16 12:38:00,84,175,0.0113636363636363,2,1,0,0.2771899374542267
12435,2,2055,7829.89,217.49694444444447,31,2011-03-17 07:40:00,2011-09-21 09:06:00,79,188,0.0105820105820105,2,1,0,0.21876748740359617
